대학명,기숙사,교지확보율,교사확보율,연구비,논문실적,전임교원확보율,장학금,교육비,외부경력교원,외국인교수,외국인학생,교환학생,취업률,유지취업률,중도탈락학생비율,창업활동,현장실습,창업교육,신입생충원,경쟁률,기회균형
서울대학교,21.60 ,730.30 ,304.00 ,229759.00 ,3103.50 ,132.56 ,3116800.00 ,48272588.90 ,0.67 ,107.00 ,197.00 ,1169.00 ,68.30 ,93.60 ,1.10 ,16.00 ,100.00 ,15.00 ,99.80 ,6.80 ,4.90 
연세대학교,35.20 ,214.10 ,277.30 ,202906.60 ,2070.13 ,108.65 ,3242900.00 ,30241700.00 ,0.30 ,119.00 ,1177.00 ,3666.00 ,68.70 ,93.00 ,1.70 ,18.00 ,81.00 ,40.00 ,99.50 ,16.70 ,6.70 
고려대학교,10.70 ,126.10 ,185.00 ,202769.94 ,1700.68 ,97.35 ,2985300.00 ,22859500.00 ,0.50 ,104.00 ,2327.00 ,2581.00 ,68.10 ,93.70 ,1.80 ,42.00 ,101.00 ,64.00 ,99.90 ,7.30 ,5.10 
성균관대학교,21.70 ,106.30 ,187.70 ,217252.90 ,1890.77 ,124.17 ,3471700.00 ,28081400.00 ,0.66 ,112.00 ,2742.00 ,1005.00 ,75.10 ,94.70 ,2.00 ,14.00 ,418.00 ,81.00 ,99.90 ,22.60 ,5.20 
한양대학교,12.20 ,72.80 ,165.40 ,170695.98 ,1316.03 ,94.13 ,3295100.00 ,21388000.00 ,0.77 ,80.00 ,1608.00 ,3932.00 ,69.60 ,92.90 ,1.90 ,61.00 ,903.00 ,55.00 ,99.70 ,23.20 ,12.10 
중앙대학교,11.60 ,28.80 ,129.60 ,108331.84 ,1293.48 ,95.39 ,2961600.00 ,15040500.00 ,0.22 ,42.00 ,1492.00 ,1319.00 ,67.80 ,92.10 ,2.70 ,16.00 ,696.00 ,93.00 ,99.80 ,26.00 ,13.70 
서강대학교,12.10 ,76.30 ,173.70 ,138146.42 ,410.22 ,73.39 ,2805800.00 ,18676800.00 ,0.40 ,22.00 ,752.00 ,817.00 ,67.30 ,94.40 ,2.60 ,7.00 ,260.00 ,26.00 ,99.90 ,26.70 ,7.20 
경희대학교,21.40 ,223.20 ,147.70 ,104443.21 ,1659.04 ,93.94 ,2996100.00 ,17232200.00 ,0.43 ,94.00 ,2770.00 ,2500.00 ,63.80 ,89.20 ,2.60 ,9.00 ,1552.00 ,112.00 ,99.70 ,19.00 ,11.50 
이화여자대학교,21.40 ,104.10 ,188.40 ,107302.31 ,1127.73 ,91.82 ,3385500.00 ,19517100.00 ,0.52 ,61.00 ,969.00 ,1579.00 ,62.70 ,86.10 ,2.10 ,5.00 ,415.00 ,18.00 ,99.90 ,12.20 ,6.90 
건국대학교,18.50 ,98.00 ,137.00 ,96278.38 ,908.76 ,77.74 ,3211600.00 ,16690800.00 ,0.36 ,67.00 ,1272.00 ,1218.00 ,60.90 ,90.60 ,2.70 ,25.00 ,813.00 ,55.00 ,99.50 ,16.80 ,9.80 
서울시립대학교,8.00 ,161.10 ,134.60 ,96824.76 ,431.64 ,87.02 ,1645500.00 ,13627500.00 ,0.33 ,15.00 ,169.00 ,643.00 ,64.20 ,93.90 ,2.20 ,4.00 ,88.00 ,30.00 ,99.20 ,12.90 ,11.90 
동국대학교,9.60 ,87.10 ,129.10 ,80368.98 ,792.90 ,94.20 ,3017600.00 ,14484200.00 ,0.38 ,131.00 ,1208.00 ,811.00 ,67.30 ,90.50 ,3.30 ,16.00 ,833.00 ,50.00 ,99.50 ,16.20 ,11.50 
홍익대학교,12.90 ,28.00 ,152.40 ,41707.01 ,440.11 ,75.00 ,3812300.00 ,12024800.00 ,0.49 ,135.00 ,638.00 ,336.00 ,64.20 ,92.90 ,2.90 ,10.00 ,409.00 ,29.00 ,99.00 ,12.10 ,9.90 
세종대학교,11.00 ,31.80 ,111.20 ,129446.40 ,485.59 ,84.94 ,3731800.00 ,15044100.00 ,0.57 ,69.00 ,813.00 ,965.00 ,64.90 ,88.60 ,3.50 ,23.00 ,325.00 ,32.00 ,99.50 ,12.50 ,7.80 
국민대학교,11.30 ,45.10 ,121.10 ,82392.58 ,575.22 ,83.94 ,3152300.00 ,14273100.00 ,0.44 ,48.00 ,1765.00 ,1496.00 ,64.70 ,89.30 ,2.80 ,19.00 ,1265.00 ,125.00 ,99.50 ,9.50 ,11.40 
단국대학교,19.10 ,126.30 ,136.50 ,45131.78 ,606.28 ,76.32 ,3214100.00 ,13425700.00 ,0.51 ,19.00 ,559.00 ,1108.00 ,62.90 ,89.80 ,3.10 ,8.00 ,248.00 ,135.00 ,99.70 ,16.00 ,10.90 
한국외국어대학교,16.10 ,581.60 ,144.00 ,34641.33 ,891.39 ,90.99 ,3003500.00 ,12092000.00 ,0.32 ,187.00 ,1270.00 ,2628.00 ,60.10 ,88.60 ,2.90 ,2.00 ,638.00 ,85.00 ,99.20 ,11.60 ,6.80 
숭실대학교,11.80 ,34.80 ,107.90 ,57216.32 ,671.34 ,81.03 ,3289900.00 ,13568400.00 ,0.62 ,48.00 ,976.00 ,635.00 ,66.50 ,90.80 ,3.50 ,14.00 ,225.00 ,59.00 ,99.60 ,14.50 ,15.20 
서울여자대학교,11.10 ,114.70 ,127.30 ,33115.53 ,237.99 ,71.04 ,3569900.00 ,12750800.00 ,0.62 ,15.00 ,27.00 ,320.00 ,58.80 ,85.50 ,3.60 ,9.00 ,227.00 ,23.00 ,99.80 ,16.90 ,8.20 
