대학명,기숙사,교지확보율,교사확보율,연구비,교수당 외부 연구비,교수당 자체 연구비,논문실적,국내 학술지 논문,국제학술지 논문,전임교원확보율,장학금,교육비,외부경력교원,외국인교수,외국인학생,교환학생,취업률,유지취업률,중도탈락학생비율,창업활동,현장실습,창업교육,신입생충원,경쟁률,기회균형
상명대학교,10.30 ,98.80 ,112.90 ,86722.02 ,84884.01 ,1839.02 ,359.76 ,231.91 ,127.85 ,85.44 ,3258241.90 ,12726262.90 ,1.00 ,7.00 ,1114.00 ,416.00 ,64.30 ,82.80 ,3.80 ,7.00 ,186.00 ,21.00 ,99.00 ,10.00 ,10.30 
서강대학교,12.80 ,82.50 ,173.00 ,120825.04 ,114327.29 ,6500.38 ,385.42 ,195.85 ,189.57 ,73.07 ,2674152.70 ,18024222.00 ,0.18 ,19.00 ,1176.00 ,944.00 ,70.40 ,95.10 ,3.10 ,5.00 ,300.00 ,29.00 ,99.50 ,23.20 ,8.60 
서경대학교,5.00 ,29.20 ,138.70 ,28662.68 ,27491.09 ,474.92 ,191.01 ,164.02 ,26.99 ,86.59 ,3139615.20 ,11085138.80 ,0.53 ,47.00 ,596.00 ,77.00 ,70.20 ,86.70 ,5.40 ,6.00 ,,18.00 ,99.80 ,19.80 ,9.10 
서울여자대학교,12.10 ,115.70 ,128.70 ,28011.81 ,26528.70 ,2533.00 ,146.40 ,123.93 ,22.48 ,68.31 ,3418385.00 ,12678632.20 ,0.59 ,15.00 ,39.00 ,337.00 ,58.80 ,82.00 ,3.70 ,3.00 ,43.00 ,28.00 ,99.90 ,14.40 ,8.00 
서울과학기술대학교,23.10 ,136.50 ,129.10 ,89612.19 ,83600.46 ,6011.74 ,419.71 ,186.31 ,233.40 ,72.83 ,3089574.00 ,14611666.70 ,0.44 ,4.00 ,470.00 ,754.00 ,66.70 ,87.40 ,3.20 ,31.00 ,624.00 ,82.00 ,100.00 ,12.20 ,15.50 
서울대학교,21.80 ,730.10 ,306.50 ,236927.88 ,228138.11 ,8789.76 ,3058.85 ,806.04 ,2252.81 ,136.23 ,3180697.00 ,48272588.90 ,0.61 ,109.00 ,226.00 ,1207.00 ,70.10 ,92.60 ,1.30 ,13.00 ,55.00 ,12.00 ,70.10 ,6.30 ,4.80 
서울시립대학교,11.40 ,161.10 ,153.00 ,95873.19 ,85790.56 ,10082.63 ,444.78 ,295.19 ,149.59 ,88.48 ,1664083.00 ,14556763.00 ,0.33 ,6.00 ,252.00 ,899.00 ,68.50 ,93.30 ,2.50 ,3.00 ,121.00 ,35.00 ,68.50 ,13.30 ,13.00 
가톨릭대학교,15.90 ,119.80 ,127.30 ,51060.16 ,46185.16 ,4875.00 ,254.77 ,194.48 ,60.29 ,70.45 ,3080960.00 ,24727352.90 ,0.57 ,10.00 ,321.00 ,460.00 ,58.40 ,86.30 ,3.20 ,3.00 ,89.00 ,34.00 ,58.40 ,11.30 ,11.50 
건국대학교,18.50 ,94.70 ,129.60 ,110939.33 ,102471.90 ,8467.43 ,926.07 ,450.11 ,475.96 ,74.89 ,3162016.30 ,15990918.20 ,0.46 ,50.00 ,1372.00 ,1401.00 ,64.50 ,90.70 ,2.70 ,30.00 ,971.00 ,92.00 ,99.30 ,19.60 ,10.80 
경희대학교,21.40 ,221.90 ,146.70 ,99872.72 ,94866.61 ,5006.09 ,1611.37 ,686.88 ,924.49 ,95.33 ,3081884.70 ,16480634.60 ,0.51 ,40.00 ,2939.00 ,2319.00 ,68.30 ,89.70 ,2.80 ,29.00 ,1758.00 ,163.00 ,99.50 ,16.60 ,12.20 
고려대학교,10.70 ,126.00 ,186.10 ,243223.80 ,226072.20 ,17151.60 ,1797.62 ,557.55 ,1240.07 ,99.86 ,3211269.60 ,24559193.40 ,0.39 ,86.00 ,2154.00 ,2387.00 ,70.30 ,93.70 ,2.20 ,34.00 ,375.00 ,40.00 ,99.80 ,8.00 ,6.20 
광운대학교,11.70 ,30.00 ,119.90 ,91379.08 ,86261.09 ,5117.98 ,355.80 ,181.39 ,174.41 ,78.80 ,2975822.70 ,14327089.30 ,0.46 ,25.00 ,733.00 ,207.00 ,64.90 ,91.40 ,3.70 ,12.00 ,307.00 ,22.00 ,99.90 ,13.30 ,15.00 
국민대학교,11.60 ,45.40 ,121.80 ,72766.95 ,72396.58 ,370.37 ,616.72 ,429.79 ,186.93 ,90.85 ,3282095.80 ,14758081.80 ,0.50 ,49.00 ,1839.00 ,1403.00 ,67.00 ,87.50 ,2.70 ,23.00 ,984.00 ,138.00 ,99.80 ,9.20 ,12.30 
덕성여자대학교,13.10 ,123.10 ,139.80 ,38985.73 ,35889.57 ,3096.15 ,164.99 ,130.57 ,34.42 ,73.39 ,2997055.70 ,12825624.10 ,0.27 ,19.00 ,25.00 ,227.00 ,62.00 ,81.20 ,3.80 ,1.00 ,210.00 ,12.00 ,99.70 ,12.50 ,5.40 
동국대학교,10.10 ,87.80 ,130.00 ,93216.40 ,89822.52 ,3393.88 ,844.80 ,448.41 ,396.39 ,89.97 ,3223415.90 ,14739781.60 ,0.41 ,116.00 ,1248.00 ,832.00 ,67.40 ,92.30 ,3.00 ,12.00 ,679.00 ,62.00 ,99.80 ,17.70 ,12.50 
동덕여자대학교,11.10 ,28.30 ,109.10 ,14496.12 ,12998.32 ,1497.80 ,163.80 ,141.66 ,22.14 ,70.06 ,3194239.60 ,11079090.00 ,0.58 ,17.00 ,27.00 ,190.00 ,62.40 ,82.80 ,4.30 ,5.00 ,166.00 ,8.00 ,99.50 ,13.60 ,9.30 
명지대학교,29.10 ,209.60 ,146.00 ,70872.63 ,70650.03 ,222.60 ,138.66 ,42.72 ,95.94 ,82.72 ,3520825.40 ,13792188.80 ,0.48 ,19.00 ,181.00 ,148.00 ,69.60 ,86.70 ,4.00 ,0.00 ,294.00 ,16.00 ,99.90 ,9.00 ,7.70 
삼육대학교,23.00 ,198.90 ,131.50 ,23551.59 ,21784.92 ,1766.67 ,142.76 ,113.51 ,29.25 ,83.00 ,3937121.60 ,13280473.30 ,0.64 ,31.00 ,111.00 ,112.00 ,67.20 ,80.40 ,4.30 ,16.00 ,199.00 ,27.00 ,99.90 ,12.70 ,7.00 
서울한영대학교,14.90 ,186.20 ,167.50 ,1621.62 ,1621.62 ,0.00 ,20.22 ,20.22 ,0.00 ,85.71 ,4013236.10 ,10018320.00 ,0.00 ,,,,54.80 ,83.90 ,10.70 ,,,0.00 ,100.00 ,5.70 ,7.90 
성공회대학교,21.20 ,65.90 ,123.80 ,23688.38 ,23382.99 ,305.40 ,36.03 ,30.37 ,5.66 ,74.78 ,3818812.20 ,11846883.70 ,0.23 ,4.00 ,2.00 ,108.00 ,64.30 ,84.10 ,5.00 ,2.00 ,15.00 ,13.00 ,99.80 ,5.10 ,8.30 
